date,symbol,name,market,score,rank,weight,close,volume,value,log_mcap,turnover,ret_60d,volatility_20d,value_traded,sector_key
2025-09-22,000250,삼천당제약,KOSDAQ,1.6890348978249075,1,0.013439926369841983,257000,716627,180520128500,29.427531001375066,0.029944102730331202,0.6885676741130091,0.03703679914051344,25.378661105493997,KOSDAQ
2025-09-22,087010,펩트론,KOSDAQ,1.617461320786184,2,0.01249071088976527,304000,283578,83886734750,29.589491257014327,0.011834243874817407,0.48292682926829267,0.027384042729160042,25.152733330064617,KOSDAQ
2025-09-22,298380,에이비엘바이오,KOSDAQ,1.6115522999630656,3,0.013888638437131496,108300,557103,59653790950,29.407748634111794,0.01009287956409722,0.6534351145038169,0.033531931182423216,24.811823536714837,KOSDAQ
2025-09-22,009150,삼성전기,KOSPI,1.5912344453617664,4,0.029225487978305913,207000,719169,146714282150,30.369380327892582,0.009488948680055046,0.5276752767527675,0.0165861311030032,25.378661105493997,KOSPI
2025-09-22,214370,케어젠,KOSDAQ,1.496296044493924,5,0.011096691255364086,68600,211784,14702803750,28.935250663797028,0.003990069538806068,1.0658831747140494,0.04859896283754822,23.41130404390473,KOSDAQ
2025-09-22,440110,파두,KOSDAQ,1.4149381503509313,6,0.01736837969038698,24200,2281075,53826159225,27.810413335233992,0.04498672114868046,0.9145569620253164,0.040811768616260506,24.70902541690872,KOSDAQ
2025-09-22,249420,일동제약,KOSPI,1.3727880913378223,7,0.01106505362026419,28100,3476769,99168376525,27.513402308137156,0.11154610310806329,1.0658831747140494,0.05238258421039084,25.32008501539433,KOSPI
2025-09-22,278470,에이피알,KOSPI,1.342113529914691,8,0.01833428177017073,225000,504654,114062163500,29.76185626024626,0.013543523320361048,0.5131136516476127,0.023714976499484123,25.378661105493997,KOSPI
2025-09-22,298040,효성중공업,KOSPI,1.3189033210352497,9,0.018222393384252543,1408000,41020,57497879000,30.205841866169692,0.0043794682369346725,0.6429404900816802,0.03321729751848815,24.775013897130247,KOSPI
2025-09-22,005930,삼성전자,KOSPI,1.2975894615378618,10,0.0344386202207186,83500,27529656,2288084255150,30.677926588752758,0.004629034243237114,0.3733552631578947,0.019887475875874777,25.378661105493997,KOSPI
2025-09-22,084370,유진테크,KOSDAQ,1.2823634626904445,11,0.01728662672636867,67700,321155,21730567400,28.070189206190527,0.014006924507739688,0.7314578005115089,0.03107854294906792,23.801985742286647,KOSDAQ
2025-09-22,277810,레인보우로보틱스,KOSDAQ,1.273363680407636,12,0.027688948690211473,314500,282018,89036587500,29.439515659541936,0.01459315870648463,0.10739436619718301,0.022258714760417384,25.212313217718794,KOSDAQ
2025-09-22,005935,삼성전자우,KOSPI,1.260761545072091,13,0.03980803321021224,66700,3083353,204459526400,30.677926588752758,0.003756685533427364,0.3181818181818181,0.01735954174573593,25.378661105493997,KOSPI
2025-09-22,108490,로보티즈,KOSDAQ,1.2545400582172883,14,0.010888436631563189,143600,4287617,620200219500,28.272070687147956,0.2447109471680306,1.0225352112676056,0.0722821338496614,25.378661105493997,KOSDAQ
2025-09-22,077970,STX엔진,KOSPI,1.2538222924870752,15,0.012693044977235134,41800,791832,32478142550,28.14873637162202,0.019353089493261373,0.9262672811059909,0.043439152518439175,24.20383316313541,KOSPI
2025-09-22,353200,대덕전자,KOSPI,1.2325461502382151,16,0.02006425845525574,28300,1928640,54318354075,27.966420618448364,0.038840467493298544,0.6199198626216371,0.023291993305514857,24.718128019222316,KOSPI
2025-09-22,089030,테크윙,KOSDAQ,1.1978001502065085,17,0.01601593627516437,56900,1450810,81204194600,28.384991675257808,0.03820614414381674,0.7347560975609757,0.05491376236466888,25.120232740427618,KOSDAQ
2025-09-22,051910,LG화학,KOSPI,1.1888631135797902,18,0.023200348066944983,295000,159506,47382341500,30.667162875813037,0.002275290774520135,0.4114832535885167,0.022688952168432766,24.58151545406337,KOSPI
2025-09-22,030530,원익홀딩스,KOSDAQ,1.1564948678175198,19,0.012114243608190026,12600,6602243,82220106370,27.60385396881749,0.08448441016939992,1.0658831747140494,0.06968319295801319,25.132665712151624,KOSDAQ
2025-09-22,007660,이수페타시스,KOSPI,1.1160450579159813,20,0.019259410408469423,76700,1043587,80354980300,29.359217072508358,0.014271408301163286,0.5248508946322068,0.03117013885857769,25.109719909797764,KOSPI
2025-09-22,240810,원익IPS,KOSDAQ GLOBAL,1.0100111324660097,21,0.015361458035646706,46800,706723,33094263300,28.46268013903218,0.014406808827300182,0.7760910815939279,0.028866680013264916,24.22262579013961,KOSDAQ GLOBAL
2025-09-22,196170,알테오젠,KOSDAQ GLOBAL,0.9657963994516892,22,0.021816614184534126,507000,1005543,513522852500,30.677926588752758,0.018944471953766247,0.33245729303547966,0.028222491857841814,25.378661105493997,KOSDAQ GLOBAL
2025-09-22,247540,에코프로비엠,KOSDAQ GLOBAL,0.8309071210056606,23,0.019183059792856103,118100,281523,33451753800,30.07773587942745,0.0028961708043713985,0.17864271457085823,0.016446430310600908,24.233370052669386,KOSDAQ GLOBAL
2025-09-22,141080,리가켐바이오,KOSDAQ GLOBAL,0.8307869979527006,24,0.017486446101604557,156300,339052,52449231950,29.375373733913694,0.009165927471499967,0.3358974358974358,0.02193339543097229,24.683111528230594,KOSDAQ GLOBAL
2025-09-22,214450,파마리서치,KOSDAQ GLOBAL,0.6318849477230644,25,0.019242991558246252,609000,134741,80577386000,29.475894030464158,0.012734885595116445,0.2543769309989701,0.02744243708253499,25.112483876384474,KOSDAQ GLOBAL
